frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
11205.31,3.38,6.09,0.37,2.48,-2.48,-2.51,0.90,-2.11,-2.71
11317.36,3.58,6.33,0.24,2.49,-2.49,-2.52,1.10,-2.24,-2.75
11430.53,3.73,6.54,0.12,2.50,-2.50,-2.52,1.24,-2.38,-2.81
11544.84,3.83,6.76,-0.01,2.51,-2.51,-2.54,1.32,-2.51,-2.93
11660.29,3.89,6.96,-0.13,2.52,-2.52,-2.55,1.37,-2.65,-3.06
11776.89,3.92,7.18,-0.26,2.54,-2.54,-2.57,1.38,-2.80,-3.25
11894.66,3.92,7.42,-0.38,2.56,-2.56,-2.59,1.36,-2.94,-3.49
12013.60,3.90,7.65,-0.51,2.58,-2.58,-2.62,1.32,-3.09,-3.74
12133.74,3.84,7.75,-0.64,2.61,-2.61,-2.65,1.24,-3.24,-3.91
12255.08,3.77,7.88,-0.76,2.63,-2.63,-2.68,1.14,-3.40,-4.11
12377.63,3.66,7.98,-0.89,2.66,-2.66,-2.71,1.00,-3.56,-4.32
12501.41,3.51,8.03,-1.02,2.70,-2.70,-2.75,0.82,-3.72,-4.52
12626.42,3.35,8.08,-1.15,2.73,-2.73,-2.79,0.62,-3.88,-4.73
12752.68,3.15,8.09,-1.28,2.77,-2.77,-2.83,0.39,-4.04,-4.94
12880.21,2.92,8.04,-1.41,2.81,-2.81,-2.88,0.12,-4.21,-5.11
13009.01,2.63,7.90,-1.54,2.85,-2.85,-2.93,-0.22,-4.38,-5.26
13139.10,2.31,7.67,-1.66,2.89,-2.89,-2.98,-0.58,-4.56,-5.35
13270.49,1.94,7.31,-1.80,2.94,-2.94,-3.03,-1.00,-4.73,-5.37
13403.20,1.54,6.87,-1.93,2.99,-2.99,-3.08,-1.45,-4.91,-5.33
13537.23,1.12,6.37,-2.06,3.04,-3.04,-3.14,-1.92,-5.10,-5.25
13672.60,0.68,5.83,-2.19,3.09,-3.09,-3.20,-2.41,-5.28,-5.15
13809.33,0.22,5.25,-2.32,3.15,-3.15,-3.26,-2.93,-5.47,-5.03
13947.42,-0.25,4.64,-2.45,3.21,-3.21,-3.32,-3.46,-5.66,-4.89
14086.90,-0.74,4.03,-2.58,3.27,-3.27,-3.38,-4.01,-5.86,-4.77
14227.77,-1.22,3.41,-2.72,3.33,-3.33,-3.45,-4.55,-6.05,-4.62
14370.04,-1.69,2.82,-2.85,3.40,-3.40,-3.51,-5.09,-6.25,-4.50
14513.74,-2.14,2.29,-2.98,3.47,-3.47,-3.58,-5.61,-6.45,-4.42
14658.88,-2.57,1.85,-3.12,3.54,-3.54,-3.65,-6.11,-6.66,-4.42
14805.47,-2.98,1.51,-3.25,3.61,-3.61,-3.73,-6.59,-6.87,-4.49
14953.52,-3.35,1.29,-3.39,3.69,-3.69,-3.80,-7.04,-7.08,-4.64
15103.06,-3.69,1.19,-3.52,3.77,-3.77,-3.88,-7.46,-7.29,-4.88
15254.09,-3.99,1.21,-3.66,3.85,-3.85,-3.96,-7.84,-7.51,-5.20
15406.63,-4.25,1.36,-3.79,3.93,-3.93,-4.04,-8.18,-7.73,-5.61
15560.70,-4.49,1.58,-3.93,4.02,-4.02,-4.13,-8.51,-7.95,-6.07
15716.30,-4.70,1.88,-4.07,4.11,-4.11,-4.21,-8.80,-8.17,-6.57
15873.47,-4.90,2.20,-4.20,4.20,-4.20,-4.30,-9.09,-8.40,-7.09
16032.20,-5.06,2.56,-4.34,4.29,-4.29,-4.40,-9.35,-8.63,-7.61
16192.52,-5.20,2.91,-4.48,4.39,-4.39,-4.49,-9.58,-8.86,-8.11
16354.45,-5.32,3.37,-4.61,4.48,-4.48,-4.59,-9.80,-9.10,-8.69
16517.99,-5.44,3.78,-4.75,4.58,-4.58,-4.70,-10.02,-9.34,-9.22
16683.17,-5.55,4.14,-4.89,4.69,-4.69,-4.81,-10.23,-9.58,-9.69
16850.01,-5.67,4.40,-5.03,4.79,-4.79,-4.92,-10.46,-9.82,-10.07
17018.51,-5.78,4.60,-5.17,4.90,-4.90,-5.03,-10.68,-10.07,-10.38
17188.69,-5.92,4.70,-5.31,5.01,-5.01,-5.15,-10.93,-10.32,-10.61
17360.58,-6.06,4.74,-5.45,5.12,-5.12,-5.28,-11.18,-10.57,-10.79
17534.18,-6.21,4.88,-5.59,5.24,-5.24,-5.41,-11.44,-10.83,-11.08
17709.53,-6.37,5.02,-5.73,5.36,-5.36,-5.54,-11.72,-11.09,-11.39
17886.62,-6.54,5.10,-5.87,5.48,-5.48,-5.68,-12.01,-11.35,-11.64
18065.49,-6.74,5.13,-6.01,5.60,-5.60,-5.82,-12.33,-11.61,-11.87
18246.14,-6.98,5.14,-6.16,5.72,-5.72,-5.96,-12.70,-11.88,-12.12
18428.60,-7.26,5.12,-6.30,5.85,-5.85,-6.10,-13.11,-12.15,-12.38
18612.89,-7.55,5.06,-6.44,5.98,-5.98,-6.24,-13.53,-12.42,-12.61
18799.02,-7.87,5.31,-6.58,6.11,-6.11,-6.37,-13.98,-12.70,-13.18
18987.01,-8.21,5.62,-6.73,6.25,-6.25,-6.50,-14.45,-12.97,-13.82
19176.88,-8.58,5.87,-6.87,6.38,-6.38,-6.60,-14.96,-13.26,-14.44
19368.65,-8.96,6.09,-7.02,6.52,-6.52,-6.68,-15.48,-13.54,-15.04
19562.33,-9.37,6.26,-7.16,6.66,-6.66,-6.73,-16.03,-13.83,-15.63
19757.96,-9.80,6.39,-7.31,6.81,-6.81,-6.71,-16.61,-14.11,-16.19
19955.54,-10.26,6.46,-7.45,6.96,-6.96,-6.62,-17.21,-14.41,-16.72
